Series Number,Filename,UUID
81,segun-baller,58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1
82,bolanle-pepper-dem,46966104-775b-4443-90bb-b35afd121653
83,tayo-tailor,70828783-ac38-48cf-b966-cfebc92ebd86
84,ajasco-comedian,8bebdb3a-f0a8-47ba-892f-39aa275fbd0d
85,tobi-babyboy,3da592d4-5dec-4bc5-8412-f1b2a0269f95
86,esther-sassy,0642a25a-966d-446f-b021-a6d18e7fa0c5
87,ozo-fineboi,fdb0a5b6-7367-48bb-bd6b-720ec8c15226
88,ade-party-girl,7e3db30c-9faf-430d-ab48-b854fe0456b9
89,john-casco,2eff88ef-5bc2-4779-917a-533e952e2953
90,agha-uwa,8478a002-1eba-4a05-8b98-7170c6e39254
91,udeme-great,d1476409-6f8b-4be9-8c93-24d9123749c5
92,femi-tech-bro,ba3ec22a-13d5-4e19-9b7f-aac764fda28c
93,sai-baba,fdfff369-5b57-4612-9f89-f5d408f24a35
94,omo-pastor,49e09559-61a6-41ff-811a-272721a7475c
95,obi-container,4b64cf48-94fa-4aed-8cf2-452974b48ee3
96,erigga-international,3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c
97,ayo-web3-bro,c137ec2b-18cd-4c29-a194-af29ac9e6c1c
98,phoebe-queen-bee,1277e9c0-81dc-4747-89df-a9d2ae4fcf96
99,rachel-warri-babe,19e6af3b-ef2d-46ba-ba05-59fb612ebbee
100,adun-preacher,cc4dfedf-c343-48db-ad67-e39452ec2380
